ID,Category,Img,Name,Obtained?,Research #,,,,,,,,,
1660,Banners (Enemy),,Herpling Banner,No,1,,,,,,,,,
1661,Banners (Enemy),,Hornet Banner,No,1,,,,,,,,,
1662,Banners (Enemy),,Ice Elemental Banner,No,1,,,,,,,,,
1663,Banners (Enemy),,Icy Merman Banner,No,1,,,,,,,,,
1664,Banners (Enemy),,Fire Imp Banner,No,1,,,,,,,,,
1665,Banners (Enemy),,Blue Jellyfish Banner,No,1,,,,,,,,,
1666,Banners (Enemy),,Jungle Creeper Banner,No,1,,,,,,,,,
1667,Banners (Enemy),,Lihzahrd Banner,No,1,,,,,,,,,
1668,Banners (Enemy),,Man Eater Banner,No,1,,,,,,,,,
1669,Banners (Enemy),,Meteor Head Banner,No,1,,,,,,,,,
1670,Banners (Enemy),,Moth Banner,No,1,,,,,,,,,
1671,Banners (Enemy),,Mummy Banner,No,1,,,,,,,,,
1672,Banners (Enemy),,Mushi Ladybug Banner,No,1,,,,,,,,,
1673,Banners (Event),,Parrot Banner,No,1,,,,,,,,,
1674,Banners (Enemy),,Pigron Banner,No,1,,,,,,,,,
1675,Banners (Enemy),,Piranha Banner,No,1,,,,,,,,,
1676,Banners (Event),,Pirate Deckhand Banner,No,1,,,,,,,,,
1677,Banners (Enemy),,Pixie Banner,No,1,,,,,,,,,
1678,Banners (Enemy),,Raincoat Zombie Banner,No,1,,,,,,,,,
1679,Banners (Event),,Reaper Banner,No,1,,,,,,,,,
1680,Banners (Enemy),,Shark Banner,No,1,,,,,,,,,
1681,Banners (Enemy),,Skeleton Banner,No,1,,,,,,,,,
1682,Banners (Enemy),,Dark Caster Banner,No,1,,,,,,,,,
1683,Banners (Enemy),,Blue Slime Banner,No,1,,,,,,,,,
1684,Banners (Enemy),,Snow Flinx Banner,No,1,,,,,,,,,
1685,Banners (Enemy),,Wall Creeper Banner,No,1,,,,,,,,,
1686,Banners (Enemy),,Spore Zombie Banner,No,1,,,,,,,,,
1687,Banners (Event),,Swamp Thing Banner,No,1,,,,,,,,,
1688,Banners (Enemy),,Giant Tortoise Banner,No,1,,,,,,,,,
1689,Banners (Enemy),,Toxic Sludge Banner,No,1,,,,,,,,,
1690,Banners (Enemy),,Umbrella Slime Banner,No,1,,,,,,,,,
1691,Banners (Enemy),,Unicorn Banner,No,1,,,,,,,,,
1692,Banners (Event),,Vampire Banner,No,1,,,,,,,,,
1693,Banners (Enemy),,Vulture Banner,No,1,,,,,,,,,
1694,Banners (Enemy),,Nymph Banner,No,1,,,,,,,,,
1695,Banners (Enemy),,Werewolf Banner,No,1,,,,,,,,,
1696,Banners (Enemy),,Wolf Banner,No,1,,,,,,,,,
1697,Banners (Enemy),,World Feeder Banner,No,1,,,,,,,,,
1698,Banners (Enemy),,Worm Banner,No,1,,,,,,,,,
1699,Banners (Enemy),,Wraith Banner,No,1,,,,,,,,,
1700,Banners (Enemy),,Wyvern Banner,No,1,,,,,,,,,
1701,Banners (Enemy),,Zombie Banner,No,1,,,,,,,,,
1702,Platforms/Fencing,,Glass Platform,No,200,,,,,,,,,
1703,Furniture (Sets),,Glass Chair,No,1,,,,,,,,,
1704,Furniture (Sets),,Golden Chair,No,1,,,,,,,,,
1705,Furniture (Sets),,Golden Toilet,No,1,,,,,,,,,
1706,Furniture (Other),,Bar Stool,No,1,,,,,,,,,
1707,Furniture (Sets),,Honey Chair,No,1,,,,,,,,,
1708,Furniture (Sets),,Steampunk Chair,No,1,,,,,,,,,
1709,Furniture (Sets),,Glass Door,No,1,,,,,,,,,
1710,Furniture (Sets),,Golden Door,No,1,,,,,,,,,
1711,Furniture (Sets),,Honey Door,No,1,,,,,,,,,
1712,Furniture (Sets),,Steampunk Door,No,1,,,,,,,,,
1713,Furniture (Sets),,Glass Table,No,1,,,,,,,,,
1714,Furniture (Other),,Banquet Table,No,1,,,,,,,,,
1715,Furniture (Other),,Bar,No,1,,,,,,,,,
1716,Furniture (Sets),,Golden Table,No,1,,,,,,,,,
1717,Furniture (Sets),,Honey Table,No,1,,,,,,,,,
1718,Furniture (Sets),,Steampunk Table,No,1,,,,,,,,,
1719,Furniture (Sets),,Glass Bed,No,1,,,,,,,,,
1720,Furniture (Sets),,Golden Bed,No,1,,,,,,,,,
1721,Furniture (Sets),,Honey Bed,No,1,,,,,,,,,
1722,Furniture (Sets),,Steampunk Bed,No,1,,,,,,,,,
1723,Walls/Wallpaper,,Living Wood Wall,No,400,,,,,,,,,
1724,Accessories,,Fart in a Jar,No,1,,,,,,,,,
1725,Plants,,Pumpkin,No,100,,,,,,,,,
1726,Walls/Wallpaper,,Pumpkin Wall,No,400,,,,,,,,,
1727,Blocks,,Hay,No,100,,,,,,,,,
1728,Walls/Wallpaper,,Hay Wall,No,400,,,,,,,,,
1729,Blocks,,Spooky Wood,No,100,,,,,,,,,
1730,Walls/Wallpaper,,Spooky Wood Wall,No,400,,,,,,,,,
1731,Armor,,Pumpkin Helmet,No,1,,,,,,,,,
1732,Armor,,Pumpkin Breastplate,No,1,,,,,,,,,
1733,Armor,,Pumpkin Leggings,No,1,,,,,,,,,
1736,Vanity,,Nurse Hat,No,1,,,,,,,,,
1737,Vanity,,Nurse Shirt,No,1,,,,,,,,,
1738,Vanity,,Nurse Pants,No,1,,,,,,,,,
1739,Vanity,,Wizard's Hat,No,1,,,,,,,,,
1740,Vanity,,Guy Fawkes Mask,No,1,,,,,,,,,
1741,Vanity,,Dye Trader Robe,No,1,,,,,,,,,
1742,Vanity,,Steampunk Goggles,No,1,,,,,,,,,
1743,Vanity,,Cyborg Helmet,No,1,,,,,,,,,
1744,Vanity,,Cyborg Shirt,No,1,,,,,,,,,
1745,Vanity,,Cyborg Pants,No,1,,,,,,,,,
1746,Vanity,,Creeper Mask,No,1,,,,,,,,,
1747,Vanity,,Creeper Shirt,No,1,,,,,,,,,
1748,Vanity,,Creeper Pants,No,1,,,,,,,,,
1749,Vanity,,Cat Mask,No,1,,,,,,,,,
1750,Vanity,,Cat Shirt,No,1,,,,,,,,,
1751,Vanity,,Cat Pants,No,1,,,,,,,,,
1752,Vanity,,Ghost Mask,No,1,,,,,,,,,
1753,Vanity,,Ghost Shirt,No,1,,,,,,,,,
1754,Vanity,,Pumpkin Mask,No,1,,,,,,,,,
1755,Vanity,,Pumpkin Shirt,No,1,,,,,,,,,
1756,Vanity,,Pumpkin Pants,No,1,,,,,,,,,
1757,Vanity,,Robot Mask,No,1,,,,,,,,,
1758,Vanity,,Robot Shirt,No,1,,,,,,,,,
1759,Vanity,,Robot Pants,No,1,,,,,,,,,
1760,Vanity,,Unicorn Mask,No,1,,,,,,,,,
1761,Vanity,,Unicorn Shirt,No,1,,,,,,,,,
1762,Vanity,,Unicorn Pants,No,1,,,,,,,,,
1763,Vanity,,Vampire Mask,No,1,,,,,,,,,
1764,Vanity,,Vampire Shirt,No,1,,,,,,,,,
1765,Vanity,,Vampire Pants,No,1,,,,,,,,,
1766,Vanity,,Witch Hat,No,1,,,,,,,,,
1767,Vanity,,Leprechaun Hat,No,1,,,,,,,,,
1768,Vanity,,Leprechaun Shirt,No,1,,,,,,,,,
1769,Vanity,,Leprechaun Pants,No,1,,,,,,,,,
1770,Vanity,,Pixie Shirt,No,1,,,,,,,,,
1771,Vanity,,Pixie Pants,No,1,,,,,,,,,
1772,Vanity,,Princess Hat,No,1,,,,,,,,,
1773,Vanity,,Princess Dress,No,1,,,,,,,,,
1774,Miscellaneous,,Goodie Bag,No,10,,,,,,,,,
1775,Vanity,,Witch Dress,No,1,,,,,,,,,
1776,Vanity,,Witch Boots,No,1,,,,,,,,,
1777,Vanity,,Bride of Frankenstein Mask,No,1,,,,,,,,,
1778,Vanity,,Bride of Frankenstein Dress,No,1,,,,,,,,,
1779,Vanity,,Karate Tortoise Mask,No,1,,,,,,,,,
1780,Vanity,,Karate Tortoise Shirt,No,1,,,,,,,,,
1781,Vanity,,Karate Tortoise Pants,No,1,,,,,,,,,
1782,Weapons,,Candy Corn Rifle,No,1,,,,,,,,,
1783,Weapons (Thrown/Ammo),,Candy Corn,No,99,,,,,,,,,
1784,Weapons,,Jack 'O Lantern Launcher,No,1,,,,,,,,,
1785,Weapons (Thrown/Ammo),,Explosive Jack 'O Lantern,No,99,,,,,,,,,
1786,Weapons,,Sickle,No,1,,,,,,,,,
1787,Food,,Pumpkin Pie,No,10,,,,,,,,,
1788,Vanity,,Scarecrow Hat,No,1,,,,,,,,,
1789,Vanity,,Scarecrow Shirt,No,1,,,,,,,,,
1790,Vanity,,Scarecrow Pants,No,1,,,,,,,,,
1791,Crafting Stations,,Cauldron,No,1,,,,,,,,,
1792,Furniture (Sets),,Pumpkin Chair,No,1,,,,,,,,,
1793,Furniture (Sets),,Pumpkin Door,No,1,,,,,,,,,
1794,Furniture (Sets),,Pumpkin Table,No,1,,,,,,,,,
1795,Furniture (Sets),,Pumpkin Work Bench,No,1,,,,,,,,,
1796,Platforms/Fencing,,Pumpkin Platform,No,200,,,,,,,,,
1797,Wings,,Tattered Fairy Wings,No,1,,,,,,,,,
1798,Pets/Mounts,,Spider Egg,No,1,,,,,,,,,
1799,Pets/Mounts,,Magical Pumpkin Seed,No,1,,,,,,,,,
1800,Tools,,Bat Hook,No,1,,,,,,,,,
1801,Weapons,,Bat Scepter,No,1,,,,,,,,,
1802,Weapons,,Raven Staff,No,1,,,,,,,,,
1808,Lighting,,Hanging Jack 'O Lantern,No,1,,,,,,,,,
1809,Weapons (Thrown/Ammo),,Rotten Egg,No,99,,,,,,,,,
1810,Pets/Mounts,,Unlucky Yarn,No,1,,,,,,,,,
1811,Crafting,,Black Fairy Dust,No,1,,,,,,,,,
1812,Lighting,,Jackelier,No,1,,,,,,,,,
1813,Lighting,,Jack 'O Lantern,No,1,,,,,,,,,
1814,Furniture (Sets),,Spooky Chair,No,1,,,,,,,,,
1815,Furniture (Sets),,Spooky Door,No,1,,,,,,,,,
1816,Furniture (Sets),,Spooky Table,No,1,,,,,,,,,
1817,Furniture (Sets),,Spooky Work Bench,No,1,,,,,,,,,
1818,Platforms/Fencing,,Spooky Wood Platform,No,200,,,,,,,,,
1819,Vanity,,Reaper Hood,No,1,,,,,,,,,
1820,Vanity,,Reaper Robe,No,1,,,,,,,,,
1821,Vanity,,Fox Mask,No,1,,,,,,,,,
1822,Vanity,,Fox Shirt,No,1,,,,,,,,,
1823,Vanity,,Fox Pants,No,1,,,,,,,,,
1824,Vanity,,Cat Ears,No,1,,,,,,,,,
1825,Weapons,,Bloody Machete,No,1,,,,,,,,,
1826,Weapons,,The Horseman's Blade,No,1,,,,,,,,,
1827,Weapons,,Bladed Glove,No,1,,,,,,,,,
1828,Plants,,Pumpkin Seed,No,25,,,,,,,,,
1829,Tools,,Spooky Hook,No,1,,,,,,,,,
1830,Wings,,Spooky Wings,No,1,,,,,,,,,
1831,Crafting,,Spooky Twig,No,1,,,,,,,,,
1832,Armor,,Spooky Helmet,No,1,,,,,,,,,
1833,Armor,,Spooky Breastplate,No,1,,,,,,,,,
1834,Armor,,Spooky Leggings,No,1,,,,,,,,,
1835,Weapons,,Stake Launcher,No,1,,,,,,,,,
1836,Weapons (Thrown/Ammo),,Stake,No,99,,,,,,,,,
1837,Pets/Mounts,,Cursed Sapling,No,1,,,,,,,,,
1838,Vanity,,Space Creature Mask,No,1,,,,,,,,,
1839,Vanity,,Space Creature Shirt,No,1,,,,,,,,,
1840,Vanity,,Space Creature Pants,No,1,,,,,,,,,
1841,Vanity,,Wolf Mask,No,1,,,,,,,,,
1842,Vanity,,Wolf Shirt,No,1,,,,,,,,,
1843,Vanity,,Wolf Pants,No,1,,,,,,,,,
1844,Keys/Boss Summons,,Pumpkin Moon Medallion,No,3,,,,,,,,,
1845,Accessories,,Necromantic Scroll,No,1,,,,,,,,,
1846,Paintings,,Jacking Skeletron,No,1,,,,,,,,,
1847,Paintings,,Bitter Harvest,No,1,,,,,,,,,
1848,Paintings,,Blood Moon Countess,No,1,,,,,,,,,
1849,Paintings,,Hallow's Eve,No,1,,,,,,,,,
1850,Paintings,,Morbid Curiosity,No,1,,,,,,,,,
1851,Vanity,,Treasure Hunter Shirt,No,1,,,,,,,,,
1852,Vanity,,Treasure Hunter Pants,No,1,,,,,,,,,
1853,Vanity,,Dryad Coverings,No,1,,,,,,,,,
1854,Vanity,,Dryad Loincloth,No,1,,,,,,,,,
1855,Trophies,,Mourning Wood Trophy,No,1,,,,,,,,,
1856,Trophies,,Pumpking Trophy,No,1,,,,,,,,,
1857,Vanity,,Jack 'O Lantern Mask,No,1,,,,,,,,,
1858,Accessories,,Sniper Scope,No,1,,,,,,,,,
1859,Lighting,,Heart Lantern,No,1,,,,,,,,,
1860,Accessories,,Jellyfish Diving Gear,No,1,,,,,,,,,
1861,Accessories,,Arctic Diving Gear,No,1,,,,,,,,,
1862,Accessories,,Frostspark Boots,No,1,,,,,,,,,
1863,Accessories,,Fart in a Balloon,No,1,,,,,,,,,
1864,Accessories,,Papyrus Scarab,No,1,,,,,,,,,
1865,Accessories,,Celestial Stone,No,1,,,,,,,,,
1866,Wings,,Hoverboard,No,1,,,,,,,,,
1869,Christmas,,Present,No,10,,,,,,,,,
1870,Weapons,,Red Ryder,No,1,,,,,,,,,
1871,Wings,,Festive Wings,No,1,,,,,,,,,
1872,Blocks,,Pine Tree Block,No,100,,,,,,,,,
1873,Christmas,,Christmas Tree,No,1,,,,,,,,,
1874,Christmas,,Star Topper 1,No,1,,,,,,,,,
1875,Christmas,,Star Topper 2,No,1,,,,,,,,,
1876,Christmas,,Star Topper 3,No,1,,,,,,,,,
1877,Christmas,,Bow Topper,No,1,,,,,,,,,
1878,Christmas,,White Garland,No,1,,,,,,,,,
1879,Christmas,,White and Red Garland,No,1,,,,,,,,,
1880,Christmas,,Red Garland,No,1,,,,,,,,,
1881,Christmas,,Red and Green Garland,No,1,,,,,,,,,
1882,Christmas,,Green Garland,No,1,,,,,,,,,
1883,Christmas,,Green and White Garland,No,1,,,,,,,,,
1884,Christmas,,Multicolored Bulb,No,1,,,,,,,,,
1885,Christmas,,Red Bulb,No,1,,,,,,,,,
1886,Christmas,,Yellow Bulb,No,1,,,,,,,,,
1887,Christmas,,Green Bulb,No,1,,,,,,,,,
1888,Christmas,,Red and Green Bulb,No,1,,,,,,,,,
1889,Christmas,,Yellow and Green Bulb,No,1,,,,,,,,,
1890,Christmas,,Red and Yellow Bulb,No,1,,,,,,,,,
1891,Christmas,,White Bulb,No,1,,,,,,,,,
1892,Christmas,,White and Red Bulb,No,1,,,,,,,,,
1893,Christmas,,White and Yellow Bulb,No,1,,,,,,,,,
1894,Christmas,,White and Green Bulb,No,1,,,,,,,,,
1895,Christmas,,Multicolored Lights,No,1,,,,,,,,,
1896,Christmas,,Red Lights,No,1,,,,,,,,,
1897,Christmas,,Green Lights,No,1,,,,,,,,,
1898,Christmas,,Blue Lights,No,1,,,,,,,,,
1899,Christmas,,Yellow Lights,No,1,,,,,,,,,
1900,Christmas,,Red and Yellow Lights,No,1,,,,,,,,,
1901,Christmas,,Red and Green Lights,No,1,,,,,,,,,
1902,Christmas,,Yellow and Green Lights,No,1,,,,,,,,,
1903,Christmas,,Blue and Green Lights,No,1,,,,,,,,,
1904,Christmas,,Red and Blue Lights,No,1,,,,,,,,,
1905,Christmas,,Blue and Yellow Lights,No,1,,,,,,,,,
1906,Vanity,,Giant Bow,No,1,,,,,,,,,
1907,Vanity,,Reindeer Antlers,No,1,,,,,,,,,
1908,Christmas,,Holly,No,1,,,,,,,,,
1909,Weapons,,Candy Cane Sword,No,1,,,,,,,,,
1910,Weapons,,Elf Melter,No,1,,,,,,,,,
1911,Food,,Christmas Pudding,No,10,,,,,,,,,
1912,Potions,,Eggnog,No,30,,,,,,,,,
1913,Weapons (Thrown/Ammo),,Star Anise,No,99,,,,,,,,,
1914,Pets/Mounts,,Reindeer Bells,No,1,,,,,,,,,
1915,Tools,,Candy Cane Hook,No,1,,,,,,,,,
1916,Tools,,Christmas Hook,No,1,,,,,,,,,
1917,Tools,,Candy Cane Pickaxe,No,1,,,,,,,,,
1918,Weapons,,Fruitcake Chakram,No,1,,,,,,,,,
1919,Food,,Sugar Cookie,No,10,,,,,,,,,
1920,Food,,Gingerbread Cookie,No,10,,,,,,,,,
1921,Accessories,,Hand Warmer,No,1,,,,,,,,,
1922,Christmas,,Coal,No,1,,,,,,,,,
1923,Accessories,,Toolbox,No,1,,,,,,,,,
1924,Furniture (Sets),,Pine Door,No,1,,,,,,,,,
1925,Furniture (Sets),,Pine Chair,No,1,,,,,,,,,
1926,Furniture (Sets),,Pine Table,No,1,,,,,,,,,
1927,Pets/Mounts,,Dog Whistle,No,1,,,,,,,,,
1928,Weapons,,Christmas Tree Sword,No,1,,,,,,,,,
1929,Weapons,,Chain Gun,No,1,,,,,,,,,
1930,Weapons,,Razorpine,No,1,,,,,,,,,
1931,Weapons,,Blizzard Staff,No,1,,,,,,,,,
1932,Vanity,,Mrs. Claus Hat,No,1,,,,,,,,,
1933,Vanity,,Mrs. Claus Shirt,No,1,,,,,,,,,
1934,Vanity,,Mrs. Claus Heels,No,1,,,,,,,,,
1935,Vanity,,Parka Hood,No,1,,,,,,,,,
1936,Vanity,,Parka Coat,No,1,,,,,,,,,
1937,Vanity,,Parka Pants,No,1,,,,,,,,,
1938,Vanity,,Snow Hat,No,1,,,,,,,,,
1939,Vanity,,Ugly Sweater,No,1,,,,,,,,,
1940,Vanity,,Tree Mask,No,1,,,,,,,,,
1941,Vanity,,Tree Shirt,No,1,,,,,,,,,
1942,Vanity,,Tree Trunks,No,1,,,,,,,,,
1943,Vanity,,Elf Hat,No,1,,,,,,,,,
1944,Vanity,,Elf Shirt,No,1,,,,,,,,,
1945,Vanity,,Elf Pants,No,1,,,,,,,,,
1946,Weapons,,Snowman Cannon,No,1,,,,,,,,,
1947,Weapons,,North Pole,No,1,,,,,,,,,
1948,Walls/Wallpaper,,Christmas Tree Wallpaper,No,400,,,,,,,,,
1949,Walls/Wallpaper,,Ornament Wallpaper,No,400,,,,,,,,,
1950,Walls/Wallpaper,,Candy Cane Wallpaper,No,400,,,,,,,,,
1951,Walls/Wallpaper,,Festive Wallpaper,No,400,,,,,,,,,
1952,Walls/Wallpaper,,Stars Wallpaper,No,400,,,,,,,,,
1953,Walls/Wallpaper,,Squiggles Wallpaper,No,400,,,,,,,,,
1954,Walls/Wallpaper,,Snowflake Wallpaper,No,400,,,,,,,,,
1955,Walls/Wallpaper,,Krampus Horn Wallpaper,No,400,,,,,,,,,
1956,Walls/Wallpaper,,Bluegreen Wallpaper,No,400,,,,,,,,,
1957,Walls/Wallpaper,,Grinch Finger Wallpaper,No,400,,,,,,,,,
1958,Keys/Boss Summons,,Naughty Present,No,3,,,,,,,,,
1959,Pets/Mounts,,Baby Grinch's Mischief Whistle,No,1,,,,,,,,,
1960,Trophies,,Ice Queen Trophy,No,1,,,,,,,,,
1961,Trophies,,Santa-NK1 Trophy,No,1,,,,,,,,,
1962,Trophies,,Everscream Trophy,No,1,,,,,,,,,
1963,Music Boxes,,Music Box (Pumpkin Moon),No,1,,,,,,,,,
1964,Music Boxes,,Music Box (Alt Underground),No,1,,,,,,,,,
1965,Music Boxes,,Music Box (Frost Moon),No,1,,,,,,,,,
1966,Paint,,Brown Paint,No,100,,,,,,,,,
1967,Paint,,Shadow Paint,No,100,,,,,,,,,
1968,Paint,,Negative Paint,No,100,,,,,,,,,
1969,Dyes,,Team Dye,No,3,,,,,,,,,
1970,Blocks,,Amethyst Gemspark Block,No,100,,,,,,,,,
1971,Blocks,,Topaz Gemspark Block,No,100,,,,,,,,,
1972,Blocks,,Sapphire Gemspark Block,No,100,,,,,,,,,
1973,Blocks,,Emerald Gemspark Block,No,100,,,,,,,,,
1974,Blocks,,Ruby Gemspark Block,No,100,,,,,,,,,
1975,Blocks,,Diamond Gemspark Block,No,100,,,,,,,,,
1976,Blocks,,Amber Gemspark Block,No,100,,,,,,,,,
1977,Dyes,,Life Hair Dye,No,1,,,,,,,,,
1978,Dyes,,Mana Hair Dye,No,1,,,,,,,,,
1979,Dyes,,Depth Hair Dye,No,1,,,,,,,,,
1980,Dyes,,Money Hair Dye,No,1,,,,,,,,,
1981,Dyes,,Time Hair Dye,No,1,,,,,,,,,
1982,Dyes,,Team Hair Dye,No,1,,,,,,,,,
1983,Dyes,,Biome Hair Dye,No,1,,,,,,,,,
1984,Dyes,,Party Hair Dye,No,1,,,,,,,,,
1985,Dyes,,Rainbow Hair Dye,No,1,,,,,,,,,
1986,Dyes,,Speed Hair Dye,No,1,,,,,,,,,
1987,Vanity Accessories,,Angel Halo,No,1,,,,,,,,,
1988,Vanity,,Fez,No,1,,,,,,,,,
1989,Furniture (Other),,Womannequin,No,1,,,,,,,,,
1990,Dyes,,Hair Dye Remover,No,1,,,,,,,,,
1991,Tools,,Bug Net,No,1,,,,,,,,,
1992,Critters,,Firefly,No,5,,,,,,,,,
1993,Critters,,Firefly in a Bottle,No,1,,,,,,,,,
1994,Critters,,Monarch Butterfly,No,5,,,,,,,,,
1995,Critters,,Purple Emperor Butterfly,No,5,,,,,,,,,
1996,Critters,,Red Admiral Butterfly,No,5,,,,,,,,,
1997,Critters,,Ulysses Butterfly,No,5,,,,,,,,,
1998,Critters,,Sulphur Butterfly,No,5,,,,,,,,,
1999,Critters,,Tree Nymph Butterfly,No,5,,,,,,,,,
2000,Critters,,Zebra Swallowtail Butterfly,No,5,,,,,,,,,
2001,Critters,,Julia Butterfly,No,5,,,,,,,,,
2002,Critters,,Worm,No,5,,,,,,,,,
2003,Critters,,Mouse,No,5,,,,,,,,,
2004,Critters,,Lightning Bug,No,5,,,,,,,,,
2005,Critters,,Lightning Bug in a Bottle,No,1,,,,,,,,,
2006,Critters,,Snail,No,5,,,,,,,,,
2007,Critters,,Glowing Snail,No,5,,,,,,,,,
2008,Walls/Wallpaper,,Fancy Gray Wallpaper,No,400,,,,,,,,,
2009,Walls/Wallpaper,,Ice Floe Wallpaper,No,400,,,,,,,,,
2010,Walls/Wallpaper,,Music Wallpaper,No,400,,,,,,,,,
2011,Walls/Wallpaper,,Purple Rain Wallpaper,No,400,,,,,,,,,
2012,Walls/Wallpaper,,Rainbow Wallpaper,No,400,,,,,,,,,
2013,Walls/Wallpaper,,Sparkle Stone Wallpaper,No,400,,,,,,,,,
2014,Walls/Wallpaper,,Starlit Heaven Wallpaper,No,400,,,,,,,,,
2015,Critters,,Bird,No,5,,,,,,,,,
2016,Critters,,Blue Jay,No,5,,,,,,,,,
2017,Critters,,Cardinal,No,5,,,,,,,,,
2018,Critters,,Squirrel,No,5,,,,,,,,,
2019,Critters,,Bunny,No,5,,,,,,,,,
2020,Furniture (Sets),,Cactus Bookcase,No,1,,,,,,,,,
2021,Furniture (Sets),,Ebonwood Bookcase,No,1,,,,,,,,,
2022,Furniture (Sets),,Flesh Bookcase,No,1,,,,,,,,,
2023,Furniture (Sets),,Honey Bookcase,No,1,,,,,,,,,
2024,Furniture (Sets),,Steampunk Bookcase,No,1,,,,,,,,,
2025,Furniture (Sets),,Glass Bookcase,No,1,,,,,,,,,
2026,Furniture (Sets),,Rich Mahogany Bookcase,No,1,,,,,,,,,
2027,Furniture (Sets),,Pearlwood Bookcase,No,1,,,,,,,,,
2028,Furniture (Sets),,Spooky Bookcase,No,1,,,,,,,,,
2029,Furniture (Sets),,Skyware Bookcase,No,1,,,,,,,,,
2030,Furniture (Sets),,Lihzahrd Bookcase,No,1,,,,,,,,,
2031,Furniture (Sets),,Frozen Bookcase,No,1,,,,,,,,,
2032,Lighting,,Cactus Lantern,No,1,,,,,,,,,
2033,Lighting,,Ebonwood Lantern,No,1,,,,,,,,,
2034,Lighting,,Flesh Lantern,No,1,,,,,,,,,
2035,Lighting,,Honey Lantern,No,1,,,,,,,,,
2036,Lighting,,Steampunk Lantern,No,1,,,,,,,,,
2037,Lighting,,Glass Lantern,No,1,,,,,,,,,
2038,Lighting,,Rich Mahogany Lantern,No,1,,,,,,,,,
2039,Lighting,,Pearlwood Lantern,No,1,,,,,,,,,
2040,Lighting,,Frozen Lantern,No,1,,,,,,,,,
2041,Lighting,,Lihzahrd Lantern,No,1,,,,,,,,,
2042,Lighting,,Skyware Lantern,No,1,,,,,,,,,
2043,Lighting,,Spooky Lantern,No,1,,,,,,,,,
2044,Furniture (Sets),,Frozen Door,No,1,,,,,,,,,
2045,Lighting,,Cactus Candle,No,1,,,,,,,,,
2046,Lighting,,Ebonwood Candle,No,1,,,,,,,,,
2047,Lighting,,Flesh Candle,No,1,,,,,,,,,
2048,Lighting,,Glass Candle,No,1,,,,,,,,,
2049,Lighting,,Frozen Candle,No,1,,,,,,,,,
2050,Lighting,,Rich Mahogany Candle,No,1,,,,,,,,,
2051,Lighting,,Pearlwood Candle,No,1,,,,,,,,,
2052,Lighting,,Lihzahrd Candle,No,1,,,,,,,,,
2053,Lighting,,Skyware Candle,No,1,,,,,,,,,
2054,Lighting,,Pumpkin Candle,No,1,,,,,,,,,
2055,Lighting,,Cactus Chandelier,No,1,,,,,,,,,
2056,Lighting,,Ebonwood Chandelier,No,1,,,,,,,,,
2057,Lighting,,Flesh Chandelier,No,1,,,,,,,,,
2058,Lighting,,Honey Chandelier,No,1,,,,,,,,,
2059,Lighting,,Frozen Chandelier,No,1,,,,,,,,,
2060,Lighting,,Rich Mahogany Chandelier,No,1,,,,,,,,,
2061,Lighting,,Pearlwood Chandelier,No,1,,,,,,,,,
2062,Lighting,,Lihzahrd Chandelier,No,1,,,,,,,,,
2063,Lighting,,Skyware Chandelier,No,1,,,,,,,,,
2064,Lighting,,Spooky Chandelier,No,1,,,,,,,,,
2065,Lighting,,Glass Chandelier,No,1,,,,,,,,,
2066,Furniture (Sets),,Cactus Bed,No,1,,,,,,,,,
2067,Furniture (Sets),,Flesh Bed,No,1,,,,,,,,,
2068,Furniture (Sets),,Frozen Bed,No,1,,,,,,,,,
2069,Furniture (Sets),,Lihzahrd Bed,No,1,,,,,,,,,
2070,Furniture (Sets),,Skyware Bed,No,1,,,,,,,,,
2071,Furniture (Sets),,Spooky Bed,No,1,,,,,,,,,
2072,Furniture (Sets),,Cactus Bathtub,No,1,,,,,,,,,
2073,Furniture (Sets),,Ebonwood Bathtub,No,1,,,,,,,,,
2074,Furniture (Sets),,Flesh Bathtub,No,1,,,,,,,,,
2075,Furniture (Sets),,Glass Bathtub,No,1,,,,,,,,,
2076,Furniture (Sets),,Frozen Bathtub,No,1,,,,,,,,,
2077,Furniture (Sets),,Rich Mahogany Bathtub,No,1,,,,,,,,,
2078,Furniture (Sets),,Pearlwood Bathtub,No,1,,,,,,,,,
2079,Furniture (Sets),,Lihzahrd Bathtub,No,1,,,,,,,,,
2080,Furniture (Sets),,Skyware Bathtub,No,1,,,,,,,,,
2081,Furniture (Sets),,Spooky Bathtub,No,1,,,,,,,,,
2082,Lighting,,Cactus Lamp,No,1,,,,,,,,,
2083,Lighting,,Ebonwood Lamp,No,1,,,,,,,,,
2084,Lighting,,Flesh Lamp,No,1,,,,,,,,,
2085,Lighting,,Glass Lamp,No,1,,,,,,,,,
2086,Lighting,,Frozen Lamp,No,1,,,,,,,,,
2087,Lighting,,Rich Mahogany Lamp,No,1,,,,,,,,,
2088,Lighting,,Pearlwood Lamp,No,1,,,,,,,,,
2089,Lighting,,Lihzahrd Lamp,No,1,,,,,,,,,
2090,Lighting,,Skyware Lamp,No,1,,,,,,,,,
2091,Lighting,,Spooky Lamp,No,1,,,,,,,,,
2092,Lighting,,Cactus Candelabra,No,1,,,,,,,,,
2093,Lighting,,Ebonwood Candelabra,No,1,,,,,,,,,
2094,Lighting,,Flesh Candelabra,No,1,,,,,,,,,
2095,Lighting,,Honey Candelabra,No,1,,,,,,,,,
